2017.09.05 (248) 00:15:00.000
Station name: Grahamstown
URSI code: GR13L
Ionosonde model: DPS-4D
  Freq  Range Pol MPA Amp Doppler    Az    Zn  PGH
 1.775  992.5  90  48  54   3.906   0.0   0.0  991
 1.775  285.0 -90  45  57   0.781   0.0   0.0  291
 1.775  287.5 -90  45  57  -0.781   0.0   0.0  292
 1.800  287.5  90  39  54  -0.781   0.0   0.0  293
 1.800  290.0  90  39  51   0.781   0.0   0.0  293
 1.800  397.5  90  39  45   5.469   0.0   0.0  398
 1.800  577.5  90  39  45  -0.781   0.0   0.0  585
 1.800  580.0  90  39  51   0.781   0.0   0.0  585
 1.800  582.5  90  39  48   0.781   0.0   0.0  586
 1.800  872.5  90  39  45   0.781   0.0   0.0  882
 1.800 1107.5  90  39  45   5.469   0.0   0.0 1102
 1.800 1112.5  90  39  45   2.344   0.0   0.0 1124
 1.800 1157.5  90  39  45  -5.469   0.0   0.0 1168
 1.800 1192.5  90  39  45   5.469   0.0   0.0 1193
 1.800 1207.5  90  39  45  -5.469   0.0   0.0 1200
 1.800 1220.0  90  39  45  -3.906   0.0   0.0 1213
 1.800 1225.0  90  39  45  -2.344   0.0   0.0 1215
 1.800 1245.0  90  39  48   0.781   0.0   0.0 1243
 1.800 1262.5  90  39  48  -2.344   0.0   0.0 1251
 1.800 1277.5  90  39  51   5.469   0.0   0.0 1266
 1.800  285.0 -90  39  57  -0.781   0.0   0.0  292
 1.800  287.5 -90  39  60  -0.781   0.0   0.0  292
 1.800  290.0 -90  39  54   0.781   0.0   0.0  293
 1.800 1117.5 -90  39  45   3.906   0.0   0.0 1104
 1.825  287.5  90  42  57  -0.781   0.0   0.0  293
 1.825  290.0  90  42  54  -0.781   0.0   0.0  294
 1.825  580.0  90  42  51   0.781   0.0   0.0  585
 1.825  585.0  90  42  48   0.781   0.0   0.0  592
 1.825  587.5  90  42  48  -0.781   0.0   0.0  595
 1.825  592.5  90  42  48   0.781   0.0   0.0  598
 1.825  957.5  90  42  48   2.344   0.0   0.0  947
 1.825  285.0 -90  39  54  -0.781   0.0   0.0  291
 1.825  287.5 -90  39  57   0.781   0.0   0.0  292
 1.825  897.5 -90  39  45   0.781   0.0   0.0  904
 1.825 1035.0 -90  39  45  -3.906   0.0   0.0 1021
 1.825 1150.0 -90  39  45  -0.781   0.0   0.0 1156
 1.850  205.0  90  39  45  -0.781   0.0   0.0  197
 1.850  287.5  90  39  57   0.781   0.0   0.0  294
 1.850  290.0  90  39  60   0.781   0.0   0.0  295
 1.850  592.5  90  39  48   0.781   0.0   0.0  598
 1.850 1160.0  90  39  45   5.469   0.0   0.0 1158
 1.850 1205.0  90  39  45  -5.469   0.0   0.0 1198
 1.850 1220.0  90  39  45   5.469   0.0   0.0 1230
 1.850  780.0 -90  39  45   5.469   0.0   0.0  781
 1.850  782.5 -90  39  45   5.469   0.0   0.0  784
 1.875  290.0  90  45  60   0.781   0.0   0.0  295
 1.875  352.5  90  45  51  -2.344   0.0   0.0  365
 1.875  535.0  90  45  51   2.344   0.0   0.0  530
 1.875  585.0  90  45  54   0.781   0.0   0.0  592
 1.875  587.5  90  45  51  -0.781   0.0   0.0  596
 1.875  285.0 -90  42  48   0.781   0.0   0.0  292
 1.875  287.5 -90  42  57   0.781   0.0   0.0  293
 1.900  290.0  90  39  54   0.781   0.0   0.0  296
 1.900  292.5  90  39  54   0.781   0.0   0.0  296
 1.900  345.0  90  39  45  -3.906   0.0   0.0  350
 1.900  367.5  90  39  45   2.344   0.0   0.0  369
 1.900  590.0  90  39  51   0.781   0.0   0.0  594
 1.900  600.0  90  39  45   0.781   0.0   0.0  605
 1.900  885.0  90  39  45  -0.781   0.0   0.0  893
 1.900  285.0 -90  36  48   0.781   0.0   0.0  292
 1.900  287.5 -90  36  57   0.781   0.0   0.0  293
 1.900  290.0 -90  36  51   0.781   0.0   0.0  292
 1.900  585.0 -90  36  48   0.781   0.0   0.0  589
 1.900  587.5 -90  36  45  -0.781   0.0   0.0  592
 1.925  290.0  90  39  51   0.781   0.0   0.0  298
 1.925  292.5  90  39  57   0.781   0.0   0.0  298
 1.925  295.0  90  39  54  -0.781   0.0   0.0  298
 1.925  587.5  90  39  54   0.781   0.0   0.0  595
 1.925  590.0  90  39  57   0.781   0.0   0.0  595
 1.925  592.5  90  39  57   0.781   0.0   0.0  597
 1.925  882.5  90  39  45   0.781   0.0   0.0  892
 1.925  885.0  90  39  48   0.781   0.0   0.0  893
 1.925  287.5 -90  36  57   0.781   0.0   0.0  294
 1.925  290.0 -90  36  57   0.781   0.0   0.0  294
 1.925  522.5 -90  36  42  -0.781   0.0   0.0  522
 1.925  555.0 -90  36  42  -0.781   0.0   0.0  552
 1.925  587.5 -90  36  45  -0.781   0.0   0.0  591
 1.925  660.0 -90  36  42  -3.906   0.0   0.0  649
 1.925  902.5 -90  36  42   0.781   0.0   0.0  888
 1.925 1060.0 -90  36  45  -2.344   0.0   0.0 1075
 1.950  290.0  90  39  48   0.781   0.0   0.0  300
 1.950  292.5  90  39  60   0.781   0.0   0.0  299
 1.950  295.0  90  39  60   0.781   0.0   0.0  299
 1.950  297.5  90  39  51   0.781   0.0   0.0  302
 1.950  587.5  90  39  51   0.781   0.0   0.0  596
 1.950  590.0  90  39  60   0.781   0.0   0.0  596
 1.950  592.5  90  39  57   0.781   0.0   0.0  597
 1.950  600.0  90  39  45   0.781   0.0   0.0  608
 1.950  607.5  90  39  45   0.781   0.0   0.0  613
 1.950  900.0  90  39  48   0.781   0.0   0.0  906
 1.950  287.5 -90  39  57   0.781   0.0   0.0  295
 1.950  290.0 -90  39  57   0.781   0.0   0.0  295
 1.950  580.0 -90  39  45  -0.781   0.0   0.0  587
 1.950  582.5 -90  39  54  -0.781   0.0   0.0  589
 1.950  585.0 -90  39  51   0.781   0.0   0.0  589
 1.950  772.5 -90  39  45   3.906   0.0   0.0  779
 1.950  862.5 -90  39  45   3.906   0.0   0.0  877
 1.950 1230.0 -90  39  45   3.906   0.0   0.0 1226
 1.950 1282.5 -90  39  45   0.781   0.0   0.0 1294
 1.975  165.0  90  39  45   5.469   0.0   0.0  174
 1.975  290.0  90  39  45  -0.781   0.0   0.0  299
 1.975  292.5  90  39  57  -0.781   0.0   0.0  299
 1.975  295.0  90  39  54   0.781   0.0   0.0  299
 1.975  592.5  90  39  57   0.781   0.0   0.0  598
 1.975  890.0  90  39  45  -0.781   0.0   0.0  898
 1.975  892.5  90  39  48   0.781   0.0   0.0  897
 1.975 1252.5  90  39  45  -0.781   0.0   0.0 1261
 1.975  287.5 -90  39  51  -0.781   0.0   0.0  295
 1.975  290.0 -90  39  57   0.781   0.0   0.0  296
 1.975  292.5 -90  39  51  -0.781   0.0   0.0  295
 2.000  267.5  90  36  42  -2.344   0.0   0.0  271
 2.000  292.5  90  36  54  -0.781   0.0   0.0  300
 2.000  295.0  90  36  57   0.781   0.0   0.0  301
 2.000  297.5  90  36  51   0.781   0.0   0.0  302
 2.000  382.5  90  36  42  -0.781   0.0   0.0  396
 2.000  467.5  90  36  42  -0.781   0.0   0.0  472
 2.000  480.0  90  36  42   5.469   0.0   0.0  484
 2.000  597.5  90  36  54   0.781   0.0   0.0  604
 2.000  600.0  90  36  57   0.781   0.0   0.0  605
 2.000  602.5  90  36  51  -0.781   0.0   0.0  607
 2.000  737.5  90  36  42   0.781   0.0   0.0  746
 2.000  740.0  90  36  45   0.781   0.0   0.0  747
