2017.09.05 (248) 12:30:00.000
Station name: Grahamstown
URSI code: GR13L
Ionosonde model: DPS-4D
  Freq  Range Pol MPA Amp Doppler    Az    Zn  PGH
 2.150  382.5  90  42  57   5.469 150.0  30.0  378
 2.150  385.0  90  42  60   5.469 330.0  30.0  383
 2.150  387.5  90  42  57   5.469 150.0  30.0  380
 2.150  390.0  90  42  57   5.469 210.0  30.0  385
 2.150  392.5  90  42  60   5.469 210.0  30.0  386
 2.150  395.0  90  42  57   5.469 210.0  30.0  387
 2.150  397.5  90  42  57   5.469 330.0  30.0  394
 2.150  400.0  90  42  57   5.469 210.0  30.0  393
 2.150  402.5  90  42  57   5.469 210.0  30.0  394
 2.150  407.5  90  42  57  -5.469  30.0  30.0  403
 2.150  410.0  90  42  57   5.469  30.0  30.0  403
 2.150  412.5  90  42  57   5.469 210.0  30.0  403
 2.150  420.0  90  42  57  -5.469 210.0  30.0  410
 2.150  422.5  90  42  57   5.469 330.0  30.0  417
 2.150  425.0  90  42  57   5.469  30.0  30.0  415
 2.150 1227.5  90  42  57   5.469 150.0  30.0 1241
 2.150 1230.0  90  42  57   5.469 210.0  30.0 1243
 2.150 1235.0  90  42  57   5.469  30.0  30.0 1249
 2.150 1237.5  90  42  57   5.469 210.0  30.0 1252
 2.150 1240.0  90  42  57   5.469 210.0  30.0 1254
 2.150 1242.5  90  42  57   5.469 210.0  30.0 1256
 2.150 1245.0  90  42  57   5.469 210.0  30.0 1230
 2.150 1247.5  90  42  57   5.469 210.0  30.0 1262
 2.150  262.5 -90  42  57  -5.469 330.0  30.0  252
 2.150  265.0 -90  42  57   2.344 150.0  30.0  274
 2.150  280.0 -90  42  57  -5.469 330.0  30.0  295
 2.150  285.0 -90  42  57   5.469  30.0  30.0  278
 2.150  287.5 -90  42  57  -5.469 330.0  30.0  277
 2.150  290.0 -90  42  57  -5.469 330.0  30.0  276
 2.150  297.5 -90  42  57  -5.469  30.0  30.0  304
 2.150  300.0 -90  42  57  -5.469 330.0  30.0  312
 2.150  302.5 -90  42  57   5.469 330.0  30.0  299
 2.150  305.0 -90  42  57   5.469 330.0  30.0  300
 2.150  307.5 -90  42  57   5.469 270.0  30.0  301
 2.150  310.0 -90  42  57   5.469 270.0  30.0  302
 2.150  312.5 -90  42  57   5.469 330.0  30.0  308
 2.150  320.0 -90  42  57   5.469 330.0  30.0  325
 2.150  322.5 -90  42  57   5.469 150.0  30.0  313
 2.150  330.0 -90  42  57   5.469 330.0  30.0  336
 2.150  332.5 -90  42  57   5.469 330.0  30.0  339
 2.150  335.0 -90  42  57   5.469 330.0  30.0  341
 2.150  340.0 -90  42  57   5.469 150.0  30.0  338
 2.150  342.5 -90  42  57   5.469  30.0  30.0  348
 2.150  350.0 -90  42  57   5.469 330.0  30.0  356
 2.150  375.0 -90  42  57  -3.906  90.0  30.0  360
 2.150  395.0 -90  42  57  -3.906   0.0   0.0  408
 2.175   80.0  90  42  60   2.344  30.0  30.0   75
 2.175   82.5  90  42  60   2.344 330.0  30.0   82
 2.175   85.0  90  42  57   2.344  30.0  30.0   81
 2.175   87.5  90  42  57   2.344  30.0  30.0   83
